acc_t,acc_x,acc_y,acc_z,gyr_t,yaw,roll,pitch,gyr_x,gyr_y,gyr_z,acc_x_2,acc_y_2,acc_z_2,quat_x,quat_y,quat_z,quat_w
15727.89244804167,-0.9901123046875,-0.0197296142578125,0.030731201171875,15727.88250804167,-0.0605559995004012,-1.606714455997813,0.0313879003732876,-0.0305235385894775,0.1131295934319496,0.0349589362740516,0.0047526955604553,-0.0060013048350811,0.0062214098870754,-0.0108940126315851,-0.7196024450234986,-0.0323052028777573,0.6935488205425735
15727.90238904167,-0.9951171875,-0.0137176513671875,0.0288238525390625,15727.89244804167,-0.0608396549701791,-1.605986485480339,0.0317759929437085,-0.0259287878870964,0.0611700266599655,-0.0120132360607385,0.0066431164741516,-0.0087719783186912,0.0020815096795558,-0.0108495142764083,-0.7193502997437111,-0.0325470255441409,0.6937996949626688
15727.91232904167,-0.977386474609375,-0.005645751953125,0.0274658203125,15727.90238904167,-0.0610302840893387,-1.605752452092718,0.0317888419894453,-0.0160556510090827,-0.018011350184679,0.0143866799771785,0.0087718963623046,0.0120538473129272,-0.0042001008987426,-0.0109097973625144,-0.7192681360138696,-0.0326190472547101,0.6938806379310055
15727.92226904167,-0.996063232421875,-0.0127105712890625,0.0303192138671875,15727.91232904167,-0.0612551111761407,-1.605948729025094,0.0315345458558603,-0.0194232184439897,-0.064192995429039,0.0190739762037992,0.0037682056427001,0.0178116373717784,-0.0063039027154445,-0.0110821642564411,-0.7193337423475352,-0.0326045923378091,0.6938106513739175
15727.93221004167,-1.026718139648438,-0.0155487060546875,0.0428009033203125,15727.92226904167,-0.0613253709262842,-1.606562582763193,0.0309547408591758,0.0054730763658881,-0.0765833482146263,0.0314363725483417,0.0214952230453491,0.0253040231764316,-0.0082757510244846,-0.0113187266302081,-0.719543352240626,-0.0324171519215202,0.6935981049704808
15727.94215004167,-1.011032104492188,-0.0235748291015625,0.0419921875,15727.93221004167,-0.0613613703238115,-1.607022763301275,0.0302343431070138,-0.0046123145148158,-0.0125467758625745,0.0790433064103126,0.0028239488601684,0.0175191406160593,-0.0058827400207519,-0.011589158278063,-0.719699014201683,-0.0321680274056843,0.693443725699303
15727.95209004167,-0.9847564697265624,-0.027069091796875,0.036956787109375,15727.94215004167,-0.0614071477620325,-1.606967576620802,0.0297005061319404,0.002692470094189,0.0428376533091068,0.1114523783326149,-0.0278129577636718,0.0141474101692438,0.0066534243524074,-0.0117900200394773,-0.7196768030626435,-0.0319922951001674,0.6934714915708362
15727.96203104167,-0.9736175537109376,-0.035491943359375,0.037261962890625,15727.95209004167,-0.0613631050140963,-1.606468295264215,0.0289368007586775,0.016043696552515,0.0589152872562408,0.0849406123161315,-0.0120866298675537,0.0053579173982143,0.0063426420092582,-0.0120313142253185,-0.719499812224051,-0.0317054584045177,0.6936640425411758
15727.97197104167,-0.9788360595703124,-0.0353546142578125,0.0392608642578125,15727.96203104167,-0.0611583931813842,-1.606097726530941,0.0284324905590615,0.027904350310564,0.0443989261984825,0.0433436296880245,0.0142166018486022,0.0013595428317785,0.0016769170761108,-0.0121269086225242,-0.7193697513720704,-0.0314554311246267,0.6938087842441815
15727.98191104167,-0.9824981689453124,-0.033538818359375,0.042144775390625,15727.97197104167,-0.060917549030665,-1.605774308707352,0.0284368150198353,0.0178083069622516,0.0329234041273593,0.0060898684896528,0.025366723537445,-0.0070589892566204,0.0023052729666233,-0.0120337041533573,-0.7192590258499681,-0.0313753809230555,0.6939288614916123
15727.99185204167,-1.002227783203125,-0.0229339599609375,0.044464111328125,15727.98191104167,-0.0608499664953451,-1.605449375278329,0.0282799206221031,-0.0020817788317799,0.0161798410117626,-0.0080629689618945,0.0201639533042907,-0.0070784874260425,0.0046285390853881,-0.0120588024654924,-0.7191458227456959,-0.03129751577895,0.6940491910680552
15728.00179204167,-1.005401611328125,-0.0187835693359375,0.0415802001953125,15727.99185204167,-0.0608717494931907,-1.605207322494807,0.0281514840649285,-0.0024463655427098,0.0055964738130569,-0.0160222239792347,0.0165138244628906,-0.0053910762071609,0.0077542029321193,-0.0121074624695971,-0.7190609811682473,-0.031260396736854,0.6941379045702393
15728.01173204167,-0.9879608154296876,-0.038604736328125,0.0485687255859375,15728.00179204167,-0.0609792845001855,-1.605068366600268,0.0277302926787761,-0.0208229757845401,0.0018691141158342,0.0195706561207771,-0.0031992197036743,0.0047927498817443,0.0102119483053684,-0.012290268183095,-0.719009756638483,-0.0311472647868648,0.6941929759223856
15728.02167341667,-0.997344970703125,-0.028472900390625,0.044677734375,15728.01173204167,-0.0612294227417863,-1.60490609776404,0.026924384550908,-0.0228379238396883,0.0180299077183008,0.0736000686883926,-0.0063454508781433,0.0081375390291213,0.0074893236160278,-0.0126576565235505,-0.7189472738509238,-0.0309456224522661,0.6942600359364881
15728.03161341667,-0.995880126953125,-0.0322113037109375,0.04510498046875,15728.02167341667,-0.0614292948044486,-1.604702679776336,0.0258801778207541,-0.0149395205080509,0.0522049218416214,0.097738966345787,0.0111297369003295,-0.0127274729311466,0.0146801471710205,-0.0130891718350039,-0.7188691994379048,-0.0306412672153512,0.6943463573229055
15728.04155341667,-0.9845733642578124,-0.0187225341796875,0.036376953125,15728.03161341667,-0.0615753601696206,-1.604173998132593,0.0245594655481083,-0.002998705022037,0.0790182575583457,0.1501005738973618,0.0017966628074646,-0.0039159283041954,0.0113162994384765,-0.0135925742672942,-0.7186765247121313,-0.0302212211592807,0.6945545158714805
15728.05149441667,-0.9858551025390624,-0.0262908935546875,0.0380096435546875,15728.04155341667,-0.0615683782066147,-1.60348808764394,0.0231068166036955,0.0071324920281767,0.0745990052819252,0.1479359567165375,0.0033187866210937,-0.0091065671294927,0.012427806854248,-0.0140847433086737,-0.7184289984782104,-0.0297020102372124,0.6948231169438263
15728.06143441667,-1.00665283203125,-0.031524658203125,0.04302978515625,15728.05149441667,-0.0614643246312293,-1.602767142653642,0.0219307610156189,0.0291986465454101,0.0922710821032524,0.1471710801124573,0.0146753191947937,0.003206443041563,0.004419207572937,-0.0144456966585698,-0.7181714024486866,-0.0292488984227387,0.6951011841432629
15728.07137441667,-1.00653076171875,-0.0161590576171875,0.0417938232421875,15728.06143441667,-0.0611673967340581,-1.601909460385578,0.0206308807787867,0.0308399517089128,0.1156608238816261,0.1679509282112122,0.0134482383728027,-0.0056615024805068,0.006908182054758,-0.0147788584455032,-0.7178665154276535,-0.0286855676341253,0.6954325923905682
15728.08131541667,-0.995361328125,-0.0037994384765625,0.036895751953125,15728.07137441667,-0.0609809520546225,-1.601127504686134,0.0191711791045546,0.0188032630831003,0.0824565663933754,0.1834759712219238,-0.0072964429855346,-0.0123546794056892,0.0127087868750095,-0.0152088398355492,-0.7175856536816774,-0.0281030614927186,0.6957369184571066
15728.09125541667,-0.988861083984375,-0.0139007568359375,0.0352783203125,15728.08131541667,-0.060989412777266,-1.600902715917673,0.0174694866193646,-0.0089367553591728,0.028502520173788,0.1693883836269379,-0.0071364045143127,0.0013095159083604,0.0116965770721435,-0.01580110379169,-0.717494912395159,-0.0274975627611671,0.6958414105347805
