loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2022-02-17 15:13:19.392 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3268.231787666667,0.0064697265625,0.0254669189453125,-1.004730224609375,3268.187067666667,-0.07841723438141247,0.005623067906257317,-0.0264036683636734,-0.005538130644708872,-0.01207241602241993,-0.002247332828119397,0.0008027506992220879,0.0003013219684362411,-0.004026472568511963,XArbitraryZVertical,-0.01308105217961933,0.003326599924173427,-0.03923208306412293,0.9991391105264559,0.005621078424155712,0.02640060149133205,-0.999635636806488,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:19.491 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3268.331166666667,0.0078125,0.028472900390625,-1.005050659179688,3268.286445666667,-0.07864482226928553,0.005637093119400849,-0.02810295847019378,-0.01719878055155277,0.002542678266763687,-0.0053858682513237,0.0008652852848172188,-0.001092161983251572,-0.002836883068084717,XArbitraryZVertical,-0.01392930642532458,0.003368461132279137,-0.03934781264192386,0.999122836282722,0.005634837318211794,0.02809925936162472,-0.9995892643928528,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:19.591 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3268.430544666667,0.0063018798828125,0.028472900390625,-1.002578735351562,3268.385824666667,-0.07874479237152311,0.005534419018678082,-0.02980800994270323,-0.02017726004123688,-0.005831064656376839,-0.0008479747921228409,0.002188893966376781,7.215514779090881e-05,-0.005967974662780762,XArbitraryZVertical,-0.01478293386004812,0.003351384839988915,-0.03939890850333216,0.9991086496401274,0.005531932227313519,0.02980359643697739,-0.9995404481887817,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:19.690 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3268.5299255,0.0052032470703125,0.03411865234375,-1.003631591796875,3268.4852055,-0.07917244904146765,0.004976949491993722,-0.0326884810571379,-0.03541480377316475,-0.01864320039749146,-0.005906649399548769,0.001358006615191698,0.002442114055156708,-0.003659427165985107,XArbitraryZVertical,-0.01623218758564797,0.003132997429911088,-0.03961111552815265,0.9990784260162002,0.004974270239472389,0.03268266096711159,-0.9994534254074097,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:19.789 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3268.6293035,0.0067596435546875,0.0330352783203125,-1.004241943359375,3268.5845835,-0.07948251936075101,0.004597323689005044,-0.03354793529531194,0.0003591733984649181,-0.01357034500688314,-0.0001227962784469128,0.002851448021829128,-0.0002936981618404388,-0.005196690559387207,XArbitraryZVertical,-0.01666857749587599,0.002962931657375679,-0.03976362876482798,0.9990657270144783,0.004594720900058746,0.03354164212942123,-0.9994267821311951,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:19.889 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3268.7286825,0.003997802734375,0.03265380859375,-1.002792358398438,3268.6839625,-0.07951227186310776,0.004110693004613752,-0.03350489130831045,-0.00176869286224246,-0.006538134068250656,-0.0001433021388947964,0.0007895762100815773,0.0006190724670886993,-0.003835082054138184,XArbitraryZVertical,-0.01665671042925133,0.0027192373238538,-0.03977440615429925,0.9990661439769521,0.00410837447270751,0.0334986224770546,-0.9994302988052368,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:19.989 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3268.8280605,0.0084381103515625,0.03240966796875,-1.005538940429688,3268.7833405,-0.0791682847422963,0.004988959408005074,-0.03355372804621907,-0.003281102050095797,0.01881702244281769,0.00842461921274662,-0.0006222380325198174,0.0003261230885982513,-0.004206955432891846,XArbitraryZVertical,-0.01666417922024856,0.003156062889149789,-0.03960992330995936,0.999071392901578,0.004986130632460117,0.03354743123054504,-0.9994246959686279,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:20.087 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3268.9274395,0.0049896240234375,0.0344696044921875,-1.002593994140625,3268.8827195,-0.07878216661215004,0.005628400438781238,-0.03408502757659105,-0.003094680141657591,-0.006158102303743362,-0.002372900955379009,5.270820111036301e-06,0.000847984105348587,-0.003190696239471436,XArbitraryZVertical,-0.016917590430822,0.003482718926835817,-0.03942293971534185,0.9990734237829427,0.005625101737678051,0.03407842665910721,-0.9994033575057983,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:20.187 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3269.0268185,0.004913330078125,0.034149169921875,-1.003555297851562,3268.9820975,-0.07875742528970876,0.004494963211785422,-0.03453394387767359,-0.005308566149324179,-0.0002162549644708633,-0.004583058413118124,0.001565350219607353,0.002459269016981125,-0.005321323871612549,XArbitraryZVertical,-0.01716421710673217,0.00292514224956253,-0.03940134073377998,0.9990718150012808,0.004492267966270447,0.03452707827091217,-0.9993936419487,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821600.0862025,0,4.719999,100.947,1,1
2022-02-17 15:13:20.286 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3269.1261965,0.0067138671875,0.033538818359375,-1.0048828125,3269.0814765,-0.07876939597050635,0.004163460432217493,-0.03448336208948933,0.002028975170105696,-0.004400283098220825,-0.003470655996352434,-0.001216148026287556,0.001487482339143753,-0.0008015632629394531,XArbitraryZVertical,-0.01714546398168472,0.002758652776122143,-0.03940444026736156,0.9990724705579562,0.004160973243415356,0.03447652980685234,-0.9993968605995178,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821600.0862025,0,4.719999,100.947,1,1
